fip,0 Days,1 Days,2 Days,3 Days,4 Days,5 Days,6 Days,7 Days,8 Days,9 Days,10 Days
42025,0.052631579,0.157894737,0.315789474,0.421052632,0.578947368,0.736842105,0.789473684,0.789473684,0.894736842,0.894736842,0.947368421
42027,0,0.04,0.12,0.24,0.4,0.48,0.76,0.8,0.88,1,1
42029,0.024096386,0.126506024,0.34939759,0.548192771,0.704819277,0.813253012,0.909638554,0.951807229,0.987951807,1,1
42031,0,0,0,0,0,0,0.5,0.5,1,1,1
42033,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.5
42035,0,0,0,0,0,0.5,1,1,1,1,1
42037,0,0.090909091,0.272727273,0.545454545,0.818181818,1,1,1,1,1,1
42039,0,0,0.222222222,0.222222222,0.777777778,0.777777778,0.888888889,1,1,1,1
42041,0.048387097,0.177419355,0.338709677,0.532258065,0.661290323,0.822580645,0.951612903,1,1,1,1
42043,0,0.079365079,0.222222222,0.46031746,0.603174603,0.682539683,0.746031746,0.825396825,0.920634921,1,1
42045,0.022988506,0.143678161,0.385057471,0.591954023,0.764367816,0.885057471,0.971264368,1,1,1,1
42049,0,0.076923077,0.192307692,0.423076923,0.692307692,0.769230769,0.884615385,0.961538462,1,1,1
42051,0,0.214285714,0.285714286,0.285714286,0.428571429,0.642857143,0.785714286,0.857142857,0.928571429,1,1
42053,0,0,0,0,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,1
42055,0.052631579,0.210526316,0.263157895,0.473684211,0.578947368,0.894736842,1,1,1,1,1
42057,0,0,0.25,0.5,0.75,1,1,1,1,1,1
42061,0,0.285714286,0.285714286,0.285714286,0.285714286,0.428571429,0.857142857,0.857142857,0.857142857,1,1
42063,0,0.222222222,0.333333333,0.333333333,0.555555556,0.888888889,0.888888889,1,1,1,1
42069,0,0.060606061,0.212121212,0.575757576,0.818181818,0.909090909,0.909090909,0.939393939,1,1,1
42071,0.003484321,0.083623693,0.261324042,0.425087108,0.634146341,0.794425087,0.860627178,0.919860627,0.947735192,0.982578397,1
42073,0,0,0.1,0.3,0.7,0.7,1,1,1,1,1
42075,0,0.2,0.44,0.6,0.74,0.84,1,1,1,1,1
42077,0.007246377,0.094202899,0.34057971,0.572463768,0.782608696,0.891304348,0.949275362,1,1,1,1
42079,0,0.13559322,0.389830508,0.559322034,0.711864407,0.779661017,0.813559322,0.949152542,1,1,1
42081,0,0,0,0,0.571428571,0.857142857,1,1,1,1,1
42085,0,0,0.125,0.5,0.875,0.875,1,1,1,1,1
42089,0,0.195402299,0.482758621,0.643678161,0.75862069,0.862068966,0.965517241,0.988505747,1,1,1
42091,0.018181818,0.118181818,0.390909091,0.568181818,0.763636364,0.863636364,0.909090909,0.940909091,0.963636364,0.977272727,1
42093,0,0,0.142857143,0.714285714,0.714285714,1,1,1,1,1,1
42095,0.013513514,0.094594595,0.344594595,0.547297297,0.756756757,0.858108108,0.939189189,0.986486486,1,1,1
42097,0.058823529,0.117647059,0.235294118,0.411764706,0.588235294,0.823529412,0.882352941,1,1,1,1
42099,0,0.25,0.25,0.25,0.25,0.25,0.75,1,1,1,1
42101,0.050632911,0.130801688,0.333333333,0.523206751,0.691983122,0.814345992,0.877637131,0.928270042,0.966244726,0.978902954,1
42103,0.138888889,0.305555556,0.5,0.694444444,0.777777778,0.916666667,0.916666667,0.972222222,1,1,1
42107,0,0.04,0.2,0.38,0.62,0.76,0.88,0.92,0.96,0.98,1
42109,0,0.214285714,0.285714286,0.357142857,0.428571429,0.571428571,0.642857143,0.785714286,0.785714286,0.928571429,1
42111,0,0.272727273,0.454545455,0.454545455,0.636363636,0.727272727,0.909090909,1,1,1,1
42113,0,0,0,0,0,0,0,0,0,0,0.666666667
42117,0,0,0,0,0.4,0.4,0.4,1,1,1,1
42119,0.125,0.25,0.25,0.375,0.375,0.5,0.625,0.75,0.875,1,1
42123,0,0.181818182,0.545454545,0.727272727,0.909090909,1,1,1,1,1,1
42125,0,0.055555556,0.277777778,0.472222222,0.638888889,0.75,0.861111111,0.972222222,1,1,1
42127,0,0,0.181818182,0.363636364,0.545454545,0.636363636,0.727272727,0.727272727,0.727272727,0.818181818,1
42129,0.014925373,0.179104478,0.447761194,0.626865672,0.701492537,0.805970149,0.895522388,0.895522388,0.970149254,1,1
42131,0,0.333333333,0.333333333,1,1,1,1,1,1,1,1
42133,0.008849558,0.115044248,0.212389381,0.389380531,0.646017699,0.761061947,0.849557522,0.911504425,0.938053097,0.946902655,0.991150442
44001,0,0.230769231,0.230769231,0.461538462,0.615384615,0.846153846,1,1,1,1,1
44003,0.033333333,0.1,0.3,0.633333333,0.8,0.9,0.933333333,1,1,1,1
44005,0.045454545,0.227272727,0.5,0.545454545,0.727272727,0.818181818,0.818181818,0.954545455,1,1,1
44007,0.027027027,0.067567568,0.297297297,0.405405405,0.675675676,0.837837838,0.905405405,0.959459459,0.986486486,1,1
44009,0.1,0.1,0.233333333,0.333333333,0.5,0.766666667,0.833333333,0.9,0.933333333,1,1
45003,0.048387097,0.129032258,0.370967742,0.580645161,0.758064516,0.870967742,0.951612903,1,1,1,1
45007,0,0.06,0.24,0.42,0.58,0.66,0.92,0.92,1,1,1
45009,0,0,0,0,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,1,1
45011,0,0,0,0,0.4,0.8,0.8,0.8,0.8,0.8,0.8
45013,0.038961039,0.116883117,0.305194805,0.545454545,0.753246753,0.863636364,0.967532468,1,1,1,1
45015,0.067307692,0.163461538,0.365384615,0.615384615,0.75,0.913461538,1,1,1,1,1
45017,0,0,0,0,0,0,0,0,0.666666667,0.666666667,0.666666667
45019,0.051282051,0.183150183,0.373626374,0.542124542,0.706959707,0.875457875,0.948717949,0.970695971,1,1,1
45021,0.2,0.2,0.2,0.4,0.4,0.6,0.6,0.6,0.8,0.8,0.8
45023,0,0,0,0,0,0.5,1,1,1,1,1
45029,0,0,0,0.571428571,0.714285714,0.714285714,0.714285714,1,1,1,1
45031,0,0,0.25,0.5,0.5,0.75,0.75,0.75,1,1,1
45033,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,1,1
45035,0.026666667,0.346666667,0.546666667,0.773333333,0.88,0.933333333,0.973333333,1,1,1,1
45037,0,0,0.090909091,0.545454545,0.636363636,0.818181818,1,1,1,1,1
45039,0,0.2,0.4,0.6,0.6,0.6,0.8,1,1,1,1
45041,0.071428571,0.5,0.535714286,0.607142857,0.821428571,0.964285714,1,1,1,1,1
45043,0,0.291666667,0.5,0.5,0.666666667,0.75,0.791666667,0.916666667,0.916666667,0.916666667,1
45045,0.017241379,0.112068966,0.271551724,0.478448276,0.637931034,0.806034483,0.909482759,0.956896552,0.987068966,1,1
45047,0,0,0.25,0.375,0.375,0.5,0.625,0.75,0.875,0.875,0.875
45051,0.023391813,0.257309942,0.532163743,0.678362573,0.812865497,0.894736842,0.970760234,1,1,1,1
45053,0,0,0,0.666666667,0.666666667,1,1,1,1,1,1
45055,0,0,0.4,0.733333333,0.933333333,0.933333333,1,1,1,1,1
45057,0.069767442,0.209302326,0.325581395,0.604651163,0.813953488,0.953488372,1,1,1,1,1
45059,0,0,0.222222222,0.666666667,0.777777778,0.888888889,0.888888889,1,1,1,1
45063,0,0.136363636,0.305194805,0.62987013,0.805194805,0.915584416,0.974025974,1,1,1,1
45071,0,0.25,0.5,0.75,0.75,0.875,1,1,1,1,1
45073,0,0.038461538,0.153846154,0.269230769,0.615384615,0.653846154,0.807692308,0.846153846,0.923076923,0.961538462,1
45075,0,0,0.153846154,0.384615385,0.846153846,0.846153846,0.846153846,0.923076923,0.923076923,1,1
45077,0,0.041666667,0.270833333,0.395833333,0.6875,0.8125,1,1,1,1,1
45079,0.042016807,0.092436975,0.260504202,0.546218487,0.705882353,0.789915966,0.899159664,0.966386555,1,1,1
45083,0.03539823,0.132743363,0.265486726,0.557522124,0.761061947,0.920353982,0.982300885,0.982300885,1,1,1
45085,0.066666667,0.066666667,0.333333333,0.733333333,0.733333333,0.733333333,0.866666667,1,1,1,1
45091,0.042424242,0.127272727,0.327272727,0.606060606,0.727272727,0.818181818,0.933333333,0.96969697,1,1,1
46009,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
46011,0,0,0,0,0.333333333,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
46013,0,0,0.157894737,0.210526316,0.315789474,0.578947368,0.631578947,0.684210526,0.842105263,0.894736842,0.894736842
46035,0,0,0.222222222,0.222222222,0.222222222,0.333333333,0.333333333,0.333333333,0.555555556,0.666666667,0.666666667
46065,0,0,0,0,0,0.166666667,0.333333333,0.666666667,1,1,1
46079,0,0,0.5,0.5,0.5,1,1,1,1,1,1
46081,0,0,0,0,0,0,0,0,0.5,0.5,0.5
46083,0.095238095,0.142857143,0.333333333,0.428571429,0.761904762,0.80952381,0.952380952,0.952380952,0.952380952,1,1
46093,0,0,0,0,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
46099,0,0.035714286,0.339285714,0.517857143,0.625,0.75,0.803571429,0.857142857,0.910714286,0.928571429,0.946428571
46103,0,0.125,0.34375,0.4375,0.59375,0.625,0.625,0.71875,0.71875,0.84375,0.84375
46127,0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1
46135,0,0.2,0.4,0.4,0.8,0.8,1,1,1,1,1
47001,0,0,0.272727273,0.454545455,0.454545455,0.636363636,0.727272727,0.909090909,0.909090909,1,1
47003,0,0.142857143,0.571428571,0.714285714,0.714285714,0.714285714,0.857142857,0.857142857,1,1,1
47005,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
47009,0.048780488,0.048780488,0.195121951,0.365853659,0.56097561,0.731707317,0.87804878,0.926829268,0.951219512,0.951219512,1
47011,0,0.08,0.16,0.4,0.76,0.84,1,1,1,1,1
47013,0,0,0.142857143,0.571428571,0.714285714,0.857142857,1,1,1,1,1
47019,0,0,0.285714286,0.285714286,0.571428571,0.857142857,1,1,1,1,1
47021,0,0.107142857,0.178571429,0.5,0.642857143,0.75,0.785714286,0.785714286,0.964285714,1,1
47023,0,0.307692308,0.692307692,0.769230769,0.846153846,0.846153846,0.923076923,1,1,1,1
47029,0,0,0.2,0.4,0.4,0.9,1,1,1,1,1
47031,0,0.1,0.1,0.1,0.4,0.4,0.5,0.7,0.7,0.7,0.7
47035,0.055555556,0.055555556,0.166666667,0.222222222,0.277777778,0.388888889,0.444444444,0.555555556,0.722222222,0.777777778,0.944444444
47037,0.00973236,0.068126521,0.206812652,0.386861314,0.530413625,0.700729927,0.819951338,0.912408759,0.97323601,0.98783455,1
47041,0.285714286,0.428571429,0.428571429,0.428571429,0.428571429,0.714285714,0.714285714,0.714285714,0.857142857,0.857142857,0.857142857
47043,0,0,0.133333333,0.266666667,0.4,0.533333333,0.866666667,0.933333333,1,1,1
47045,0,0,0.333333333,0.555555556,1,1,1,1,1,1,1
47047,0,0.222222222,0.222222222,0.555555556,0.777777778,0.888888889,1,1,1,1,1
47053,0.05,0.1,0.45,0.65,0.8,0.95,0.95,1,1,1,1
47055,0,0,0.25,0.75,1,1,1,1,1,1,1
47057,0,0,0,0,0,0,0.333333333,0.333333333,1,1,1
47059,0,0,0.166666667,0.333333333,0.5,0.5,0.666666667,1,1,1,1
